start,end,label,filename
0.0,7.047152250773957,etc,--U7joUcTCo.wav
7.047152250773957,7.8000260361567175,cough,--U7joUcTCo.wav
7.8000260361567175,9.241541950113378,etc,--U7joUcTCo.wav
0.0,1.8130457166392089,etc,-4LOcUpXMzc_30_000-40_000.wav
1.8130457166392089,3.0472508237232283,sniffle,-4LOcUpXMzc_30_000-40_000.wav
3.0472508237232283,4.078572899505765,silence,-4LOcUpXMzc_30_000-40_000.wav
4.078572899505765,10.0,speech,-4LOcUpXMzc_30_000-40_000.wav
0.0,117.62798800244634,speech,-5dCv5_nvU8.wav
117.62798800244634,118.63746112506342,throat-clearing,-5dCv5_nvU8.wav
118.63746112506342,132.78181563845982,speech,-5dCv5_nvU8.wav
132.78181563845982,134.61480630847504,cough,-5dCv5_nvU8.wav
134.61480630847504,136.4477969784903,speech,-5dCv5_nvU8.wav
136.4477969784903,145.45335983552158,etc,-5dCv5_nvU8.wav
145.45335983552158,148.77864374498796,speech,-5dCv5_nvU8.wav
148.77864374498796,159.57360164394547,etc,-5dCv5_nvU8.wav
159.57360164394547,162.08768544506816,sneeze,-5dCv5_nvU8.wav
162.08768544506816,166.40800421010425,speech,-5dCv5_nvU8.wav
166.40800421010425,169.8984312349639,etc,-5dCv5_nvU8.wav
169.8984312349639,171.72907477947072,speech,-5dCv5_nvU8.wav
171.72907477947072,182.06026964715318,cough,-5dCv5_nvU8.wav
182.06026964715318,183.86650461106657,speech,-5dCv5_nvU8.wav
183.86650461106657,188.0403718925421,cough,-5dCv5_nvU8.wav
188.0403718925421,190.5544556936648,speech,-5dCv5_nvU8.wav
190.5544556936648,191.48198175621494,cough,-5dCv5_nvU8.wav
191.48198175621494,202.0572624298316,speech,-5dCv5_nvU8.wav
202.0572624298316,205.10833500400963,cough,-5dCv5_nvU8.wav
205.10833500400963,206.30435545308742,speech,-5dCv5_nvU8.wav
206.30435545308742,208.1838161587811,cough,-5dCv5_nvU8.wav
208.1838161587811,211.84510324779473,speech,-5dCv5_nvU8.wav
211.84510324779473,216.2630563352045,etc,-5dCv5_nvU8.wav
